Representation,Embedding_Model,Clustering_Algorithm,K_or_Params,ARI,NMI,Silhouette,Noise_Fraction
triples,sentence-transformers-all-mpnet-base-v2,gmm,6,0.312045930945237,0.3408016232116505,0.0457318723201751,
triples,sentence-transformers-all-mpnet-base-v2,gmm,7,0.2490547558019005,0.3442755602065969,0.0419056229293346,
triples,sentence-transformers-all-mpnet-base-v2,gmm,8,0.2607001403160189,0.352147235509718,0.0352207459509372,
triples,sentence-transformers-all-mpnet-base-v2,gmm,9,0.2125588161226292,0.3240082681295061,0.0415555797517299,
triples,sentence-transformers-all-mpnet-base-v2,gmm,10,0.2344917778382619,0.3435082132495392,0.0399486646056175,
triples,sentence-transformers-all-mpnet-base-v2,gmm,11,0.2027371776776188,0.3380966015142855,0.0385052040219306,
triples,sentence-transformers-all-mpnet-base-v2,gmm,12,0.1923466969596405,0.3381389584141786,0.0495707504451274,
triples,sentence-transformers-all-mpnet-base-v2,hdbscan,5,0.0033999728124614,0.0095128926386308,0.035449381917715,0.0
triples,sentence-transformers-all-mpnet-base-v2,hdbscan,10,0.0034141429046394,0.0085537606437346,0.036294613033533,0.0002
triples,sentence-transformers-all-mpnet-base-v2,hdbscan,20,0.003433851888409,0.008575040274926,0.0363918542861938,0.0012
triples,sentence-transformers-all-mpnet-base-v2,hdbscan,30,0.0034708432642581,0.0085949376420218,0.0366135686635971,0.0034
triples,sentence-transformers-all-mpnet-base-v2,hdbscan,50,0.0035551058183362,0.0086669071125686,0.0371481403708457,0.0106
triples,sentence-transformers-all-mpnet-base-v2,hdbscan,100,0.0,0.0,0.0,1.0
concatenate,allenai-scibert_scivocab_uncased,kmeans,3,0.4178824833651743,0.4078009563321009,0.1010630875825882,
concatenate,allenai-scibert_scivocab_uncased,kmeans,4,0.3144808242080089,0.3908353203797425,0.0702782198786735,
concatenate,allenai-scibert_scivocab_uncased,kmeans,5,0.3593024960101516,0.4424370226740073,0.0751855447888374,
concatenate,allenai-scibert_scivocab_uncased,kmeans,6,0.3552697994837992,0.4378816086540473,0.0716054067015647,
concatenate,allenai-scibert_scivocab_uncased,kmeans,7,0.3874672971390009,0.4692157765270021,0.0714001804590225,
concatenate,allenai-scibert_scivocab_uncased,kmeans,8,0.3481654008756192,0.4604871233104944,0.0663133710622787,
concatenate,allenai-scibert_scivocab_uncased,kmeans,9,0.3011306368748132,0.4440315158213081,0.0614876821637153,
concatenate,allenai-scibert_scivocab_uncased,kmeans,10,0.2674872426300183,0.4326728754301366,0.053364660590887,
concatenate,allenai-scibert_scivocab_uncased,kmeans,11,0.262626823078023,0.4412962442390649,0.0508229099214077,
concatenate,allenai-scibert_scivocab_uncased,kmeans,12,0.2416553797483352,0.4401291684301872,0.0509994402527809,
concatenate,allenai-scibert_scivocab_uncased,gmm,3,0.4178824833651743,0.4078009563321009,0.1010630875825882,
concatenate,allenai-scibert_scivocab_uncased,gmm,4,0.314267581768539,0.3916493441741018,0.0702020227909088,
concatenate,allenai-scibert_scivocab_uncased,gmm,5,0.3583606726007832,0.4421685991839216,0.0750814080238342,
concatenate,allenai-scibert_scivocab_uncased,gmm,6,0.329245373410329,0.4314063420480653,0.0667329654097557,
concatenate,allenai-scibert_scivocab_uncased,gmm,7,0.3863258761608752,0.4680558396426231,0.0713290050625801,
concatenate,allenai-scibert_scivocab_uncased,gmm,8,0.3510623065503976,0.4622026381135814,0.0667196065187454,
