representation,model_alias,label,support,baseline_f1,phase7_f1,delta_f1_vs_hybrid
quality_hybrid_banded,scibert,astro-ph,146,0.9370629370629371,0.9305555555555556,-0.0065073815073815044
quality_hybrid_banded,scibert,math-ph,17,0.17391304347826086,0.16666666666666666,-0.007246376811594207
quality_hybrid_banded,scibert,econ,13,0.3333333333333333,0.3157894736842105,-0.017543859649122806
quality_hybrid_banded,scibert,nucl-th,15,0.6923076923076923,0.6666666666666666,-0.02564102564102566
quality_hybrid_banded,scibert,eess,94,0.6268656716417911,0.6,-0.0268656716417911
quality_hybrid_banded,scibert,nlin,9,0.2,0.0,-0.2
quality_hybrid_top5,scibert,hep-ex,11,0.42857142857142855,0.46153846153846156,0.032967032967033016
quality_hybrid_top5,scibert,q-bio,15,0.5,0.5161290322580645,0.016129032258064502
quality_hybrid_top5,scibert,hep-ph,58,0.7796610169491526,0.7863247863247863,0.006663769375633732
quality_hybrid_top5,scibert,physics,126,0.6615384615384615,0.6641221374045801,0.0025836758661186288
quality_hybrid_top5,scibert,alg-geom,0,0.0,0.0,0.0
quality_hybrid_top5,scibert,econ,13,0.3333333333333333,0.3333333333333333,0.0
quality_hybrid_top5,scibert,hep-lat,2,0.0,0.0,0.0
quality_hybrid_top5,scibert,nlin,9,0.2,0.2,0.0
quality_hybrid_top5,scibert,nucl-ex,8,0.0,0.0,0.0
quality_hybrid_top5,scibert,stat,60,0.4954128440366973,0.4954128440366973,0.0
quality_hybrid_top5,scibert,cs,727,0.908968307484828,0.9072444143534191,-0.0017238931314089712
quality_hybrid_top5,scibert,math,374,0.8870967741935484,0.8847184986595175,-0.002378275534030916
quality_hybrid_top5,scibert,cond-mat,158,0.8421052631578947,0.839344262295082,-0.0027610008628127236
quality_hybrid_top5,scibert,astro-ph,146,0.9370629370629371,0.9337979094076655,-0.0032650276552715907
quality_hybrid_top5,scibert,quant-ph,79,0.8481012658227848,0.8354430379746836,-0.012658227848101222
quality_hybrid_top5,scibert,gr-qc,40,0.6947368421052632,0.6804123711340206,-0.014324470971242564
quality_hybrid_top5,scibert,math-ph,17,0.17391304347826086,0.15384615384615385,-0.02006688963210701
quality_hybrid_top5,scibert,nucl-th,15,0.6923076923076923,0.6666666666666666,-0.02564102564102566
quality_hybrid_top5,scibert,eess,94,0.6268656716417911,0.6009852216748769,-0.025880449966914187
quality_hybrid_top5,scibert,hep-th,36,0.5833333333333334,0.5507246376811594,-0.03260869565217395
quality_hybrid_top5,scibert,q-fin,12,0.782608695652174,0.7272727272727273,-0.055335968379446654
quality_hybrid_top50,scibert,hep-ex,11,0.42857142857142855,0.5,0.07142857142857145
quality_hybrid_top50,scibert,hep-ph,58,0.7796610169491526,0.8141592920353983,0.0344982750862457
quality_hybrid_top50,scibert,stat,60,0.4954128440366973,0.5142857142857142,0.01887287024901696
quality_hybrid_top50,scibert,gr-qc,40,0.6947368421052632,0.7083333333333334,0.013596491228070162
quality_hybrid_top50,scibert,alg-geom,0,0.0,0.0,0.0
quality_hybrid_top50,scibert,hep-lat,2,0.0,0.0,0.0
quality_hybrid_top50,scibert,nlin,9,0.2,0.2,0.0
quality_hybrid_top50,scibert,nucl-ex,8,0.0,0.0,0.0
quality_hybrid_top50,scibert,physics,126,0.6615384615384615,0.6590038314176245,-0.0025346301208369892
quality_hybrid_top50,scibert,cond-mat,158,0.8421052631578947,0.839344262295082,-0.0027610008628127236
quality_hybrid_top50,scibert,astro-ph,146,0.9370629370629371,0.9342560553633218,-0.0028068816996152934
quality_hybrid_top50,scibert,cs,727,0.908968307484828,0.9060175794455714,-0.002950728039256667
quality_hybrid_top50,scibert,math,374,0.8870967741935484,0.8835341365461847,-0.0035626376473636423
quality_hybrid_top50,scibert,math-ph,17,0.17391304347826086,0.16666666666666666,-0.007246376811594207
quality_hybrid_top50,scibert,eess,94,0.6268656716417911,0.6039603960396039,-0.022905275602187136
quality_hybrid_top50,scibert,nucl-th,15,0.6923076923076923,0.6666666666666666,-0.02564102564102566
quality_hybrid_top50,scibert,quant-ph,79,0.8481012658227848,0.8148148148148148,-0.03328645100797001
quality_hybrid_top50,scibert,q-bio,15,0.5,0.4666666666666667,-0.033333333333333326
quality_hybrid_top50,scibert,hep-th,36,0.5833333333333334,0.5352112676056338,-0.048122065727699614
quality_hybrid_top50,scibert,q-fin,12,0.782608695652174,0.6956521739130435,-0.08695652173913049
quality_hybrid_top50,scibert,econ,13,0.3333333333333333,0.2222222222222222,-0.1111111111111111
triples,scibert,econ,14,0.3333333333333333,0.43478260869565216,0.10144927536231885
triples,scibert,alg-geom,0,0.0,0.0,0.0
triples,scibert,hep-lat,4,0.0,0.0,0.0
triples,scibert,nucl-ex,4,0.0,0.0,0.0
triples,scibert,stat,58,0.4954128440366973,0.48484848484848486,-0.010564359188212413
triples,scibert,cs,720,0.908968307484828,0.8710106382978723,-0.037957669186955756
triples,scibert,hep-th,33,0.5833333333333334,0.5205479452054794,-0.06278538812785395
triples,scibert,math,365,0.8870967741935484,0.8106060606060606,-0.07649071358748782
triples,scibert,astro-ph,138,0.9370629370629371,0.8363636363636363,-0.10069930069930078
triples,scibert,cond-mat,153,0.8421052631578947,0.6848484848484848,-0.15725677830940987
triples,scibert,physics,155,0.6615384615384615,0.49491525423728816,-0.16662320730117336
triples,scibert,math-ph,17,0.17391304347826086,0.0,-0.17391304347826086
triples,scibert,eess,102,0.6268656716417911,0.4375,-0.18936567164179108
triples,scibert,hep-ph,44,0.7796610169491526,0.5853658536585366,-0.19429516329061602
triples,scibert,nlin,6,0.2,0.0,-0.2
triples,scibert,quant-ph,84,0.8481012658227848,0.6171428571428571,-0.23095840867992767
triples,scibert,q-bio,23,0.5,0.25,-0.25
triples,scibert,gr-qc,25,0.6947368421052632,0.27906976744186046,-0.41566707466340275
triples,scibert,hep-ex,13,0.42857142857142855,0.0,-0.42857142857142855
triples,scibert,q-fin,8,0.782608695652174,0.2,-0.5826086956521739
